title,url_gs,year_gs,venue_gs,author_gs,source
Enhancing Trust in LLM Chatbots for Workplace Support Through User Experience Design and Prompt Engineering,https://books.google.com/books?hl=en&lr=&id=8WYREQAAQBAJ&oi=fnd&pg=PA139&dq=(%22LLM%22+OR+%22large+language+model%22+OR+%22generative+AI%22+OR+%22ChatGPT%22+OR+%22AI+chatbot%22)+AND+(%22productivity%22+OR+%22workplace%22+OR+%22knowledge+work%22+OR+%22task+performance%22+OR+%22professional+writing%22+OR+%22writing+task%22+OR+%22essay+writing%22+OR+%22writing+assistant%22+OR+%22writing+assistance%22+OR+%22writing+skills%22+OR+%22cognitive+load%22+OR+%22cognitive+debt%22+OR+%22metacognition%22+OR+%22metacognitive%22+OR+%22self-regulated+learning%22+OR+%22learning+outcomes%22+OR+%22learning+engagement%22+OR+%22student+engagement%22+OR+%22academic+engagement%22+OR+%22AI+tutor%22+OR+%22tutor%22+OR+%22homework+tutor%22+OR+%22mathematics%22+OR+%22high+school+math%22+OR+%22programming%22+OR+%22programming+assignment%22+OR+%22compiler+error%22+OR+%22automated+assessment%22+OR+%22feedback%22+OR+%22reading+comprehension%22+OR+%22note-taking%22+OR+%22memory+retention%22+OR+%22critical+thinking%22+OR+%22higher+education%22+OR+%22EFL+writing%22+OR+%22assistive+technology%22+OR+%22visual+disability%22+OR+%22GitHub+Copilot%22+OR+%22Copilot%22)&ots=NBGVzDYajU&sig=PmlbT9qJ8B65ITSbILPFRJBNAS4,2024.0,The Human Side of …,"['Z Gong', 'S Birajdar', 'T Cao', 'YQ Khoo']",google_scholar
Can generative artificial intelligence productivity tools support workplace learning? A qualitative study on employee perceptions in a multinational corporation,https://www.emerald.com/insight/content/doi/10.1108/jwl-11-2024-0258/full/html,2025.0,Journal of Workplace Learning,"['TC Callari', 'L Puppione']",google_scholar
Generative AI for Productivity in Industry and Education.,https://www.researchgate.net/profile/Ali-Emrouznejad/publication/379909992_COMPLEXIS_2024_Proceedings_of_the_9th_International_Conference_on_Complexity_Future_Information_Systems_and_Risk/links/662186f0f7d3fc28746d02b0/COMPLEXIS-2024-Proceedings-of-the-9th-International-Conference-on-Complexity-Future-Information-Systems-and-Risk.pdf#page=139,2024.0,COMPLEXIS,"['F Héjja', 'T Bartók', 'R Dakroub', 'G Kocsis']",google_scholar
The role of generative ai in software development productivity: A pilot case study,https://dl.acm.org/doi/abs/10.1145/3664646.3664773,2024.0,Proceedings of the 1st …,"['M Coutinho', 'L Marques', 'A Santos', 'M Dahia']",google_scholar
Assessing the Impact of ChatGPT on EFL Students' Writing Productivity and Proficiency,https://search.proquest.com/openview/35665f25b9bef7188aa4640c6b78843a/1?pq-origsite=gscholar&cbl=136091,2025.0,Journal of Language Teaching …,"['MA Alwasidi', 'KS Al-Khalifah']",google_scholar
Generative ai in knowledge work: Design implications for data navigation and decision-making,https://dl.acm.org/doi/abs/10.1145/3706598.3713337,2025.0,Proceedings of the 2025 …,"['B Yun', 'D Feng', 'AS Chen', 'A Nikzad']",google_scholar
Enhancing efficiency in scientific writing in the field of plant growing: Collaborating with AI assistant ChatGPT for enhanced productivity.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=23675144&AN=174270159&h=9u7t6p2mNeKpN7MPrLQKdPxRTk%2Fxq3653nEe5B5s3XzwI4hG%2F4VZkM07sdya8QX%2FBY1GMxbpzWANkfc1xj0eig%3D%3D&crl=c,2023.0,Acta Scientifica Naturalis,['P Chamurliyski'],google_scholar
From virtual assistant to writing mentor: Exploring the impact of a ChatGPT-based writing instruction protocol on EFL teachers' self-efficacy and learners' writing skill,https://journals.sagepub.com/doi/abs/10.1177/13621688241239764,2024.0,Language Teaching …,"['M Ghafouri', 'J Hassaskhah']",google_scholar
Effects of generative artificial intelligence on cognitive effort and task performance: study protocol for a randomized controlled experiment among college students,https://link.springer.com/article/10.1186/s13063-025-08950-3,2025.0,Trials,"['Y Chen', 'Y Wang', 'T Wüstenberg', 'RF Kizilcec', 'Y Fan']",google_scholar
HELP ME CHATGPT! WHAT WAYS DOES CHATGPT INFLUENCE STUDENTS'PRODUCTIVITY AND CREATIVITY IN ENGLISH ACADEMIC WRITING?,http://ojs.jurnalbk.com/index.php/educatum/article/view/65,2024.0,EDUCATUM: Scientific Journal …,"['W Sudrajad', 'MH Fikri', 'RPB Putra']",google_scholar
"The value, benefits, and concerns of generative ai-powered assistance in writing",https://dl.acm.org/doi/abs/10.1145/3613904.3642625,2024.0,Proceedings of the 2024 CHI Conference …,"['Z Li', 'C Liang', 'J Peng', 'M Yin']",google_scholar
Interacting with ChatGPT in essay writing: A study of L2 learners' task motivation,https://www.cambridge.org/core/journals/recall/article/interacting-with-chatgpt-in-essay-writing-a-study-of-l2-learners-task-motivation/720D0AD1F515BDD36E44713A73B8EF3D,2025.0,ReCALL,"['J Zare', 'A Al-Issa', 'FR Madiseh']",google_scholar
"Unleashing pre-service language teachers' productivity with generative AI: Emotions, appraisal and coping strategies",https://www.sciencedirect.com/science/article/pii/S0747563224002851,2024.0,Computers in Human Behavior,"['H Yin', 'C Wang', 'Z Liu']",google_scholar
"Learning, teaching, and assessment with generative artificial intelligence: towards a plateau of productivity",https://www.tandfonline.com/doi/full/10.1080/23735082.2023.2264086,2023.0,Learning: Research and Practice,"['E Koh', 'S Doroudi']",google_scholar
'I'm Categorizing LLM as a Productivity Tool': Examining Ethics of LLM Use in HCI Research Practices,https://dl.acm.org/doi/abs/10.1145/3711000,2025.0,Proceedings of the ACM on …,"['S Kapania', 'R Wang', 'TJJ Li', 'T Li', 'H Shen']",google_scholar
Generative AI in education: To embrace it or not?,https://www.ijabe.org/index.php/ijabe/article/view/8486/0,2023.0,International Journal of Agricultural and …,"['SA Okaiyeto', 'J Bai', 'H Xiao']",google_scholar
Human-generative AI collaboration enhances task performance but undermines human's intrinsic motivation,https://www.nature.com/articles/s41598-025-98385-2,2025.0,Scientific Reports,"['S Wu', 'Y Liu', 'M Ruan', 'S Chen', 'XY Xie']",google_scholar
AscleAI: A LLM-based clinical note management system for enhancing clinician productivity,https://dl.acm.org/doi/abs/10.1145/3613905.3650784,2024.0,Extended Abstracts of the CHI …,"['J Han', 'J Park', 'J Huh', 'U Oh', 'J Do', 'D Kim']",google_scholar
Analyzing the role of ChatGPT as a writing assistant at higher education level: A systematic review of the literature,https://www.cedtech.net/article/analyzing-the-role-of-chatgpt-as-a-writing-assistant-at-higher-education-level-a-systematic-review-13605,2023.0,Contemporary Educational Technology,"['M Imran', 'N Almusharraf']",google_scholar
Dear Diary: A randomized controlled trial of Generative AI coding tools in the workplace,https://ieeexplore.ieee.org/abstract/document/11121735/,2025.0,2025 IEEE/ACM 47th …,"['J Butler', 'J Suh', 'S Haniyur']",google_scholar
EFL secondary students' use of ChatGPT for writing task completion pathways,https://www.tandfonline.com/doi/abs/10.1080/00220671.2025.2510382,2025.0,The Journal of Educational Research,"['DJ Woo', 'K Guo', 'H Susanto']",google_scholar
Ironies of generative AI: understanding and mitigating productivity loss in Human-AI interaction,https://www.tandfonline.com/doi/abs/10.1080/10447318.2024.2405782,2025.0,… Journal of Human …,"['A Simkute', 'L Tankelevitch', 'V Kewenig']",google_scholar
AI in the workplace: Examining the effects of ChatGPT on information support and knowledge acquisition,https://www.tandfonline.com/doi/abs/10.1080/10447318.2023.2278283,2024.0,International Journal of Human–Computer …,"['H Jo', 'DH Park']",google_scholar
ChatGPT-3.5 as writing assistance in students' essays,https://www.nature.com/articles/s41599-023-02269-7,2023.0,Humanities and social …,"['Ž Bašić', 'A Banovac', 'I Kružić', 'I Jerković']",google_scholar
Understanding the impact of an organisational LLM agent on the collaborative practices of knowledge work,https://www.researchsquare.com/article/rs-7601582/latest,2025.0,,"[""K O'Hara"", 'M Massimi', 'M Khan']",google_scholar
Human-artificial intelligence collaboration in the modern workplace: Maximizing productivity and transforming job roles,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5057414,2024.0,Available at SSRN 5057414,['D Patil'],google_scholar
Enhancing Writing Skills through ChatGPT: an Experimental Study in the Context of Ergonomics,https://www.ceeol.com/search/article-detail?id=1222879,2024.0,Limbaj si Context,"['A Arora', 'NK Mehta']",google_scholar
Conversational artificial intelligence in the workplace: Analysing the impact of ChatGPT on users' perceived self-efficacy,https://ieeexplore.ieee.org/abstract/document/10551239/,2024.0,2024 2nd International Conference on …,"['KP Patil', 'D Pramod']",google_scholar
Performance of large language models ChatGPT and Gemini on workplace management questions in radiology,https://www.mdpi.com/2075-4418/15/4/497,2025.0,Diagnostics,"['P Leutz-Schmidt', 'V Palm', 'RM Mathy', 'M Grözinger']",google_scholar
From efficiency to innovation: Llm 5.0 and the future of industry,https://ieeexplore.ieee.org/abstract/document/10894335/,2025.0,… Conference on Multi …,"['PK Gantayat', 'T Kaur', 'M Majhi']",google_scholar
The AI Revolution in Project Management: Elevating Productivity with Generative AI,https://books.google.com/books?hl=en&lr=&id=sXriEAAAQBAJ&oi=fnd&pg=PT14&dq=(%22LLM%22+OR+%22large+language+model%22+OR+%22generative+AI%22+OR+%22ChatGPT%22+OR+%22AI+chatbot%22)+AND+(%22productivity%22+OR+%22workplace%22+OR+%22knowledge+work%22+OR+%22task+performance%22+OR+%22professional+writing%22+OR+%22writing+task%22+OR+%22essay+writing%22+OR+%22writing+assistant%22+OR+%22writing+assistance%22+OR+%22writing+skills%22+OR+%22cognitive+load%22+OR+%22cognitive+debt%22+OR+%22metacognition%22+OR+%22metacognitive%22+OR+%22self-regulated+learning%22+OR+%22learning+outcomes%22+OR+%22learning+engagement%22+OR+%22student+engagement%22+OR+%22academic+engagement%22+OR+%22AI+tutor%22+OR+%22tutor%22+OR+%22homework+tutor%22+OR+%22mathematics%22+OR+%22high+school+math%22+OR+%22programming%22+OR+%22programming+assignment%22+OR+%22compiler+error%22+OR+%22automated+assessment%22+OR+%22feedback%22+OR+%22reading+comprehension%22+OR+%22note-taking%22+OR+%22memory+retention%22+OR+%22critical+thinking%22+OR+%22higher+education%22+OR+%22EFL+writing%22+OR+%22assistive+technology%22+OR+%22visual+disability%22+OR+%22GitHub+Copilot%22+OR+%22Copilot%22)&ots=mPi3T2H63w&sig=-6O1Ao_gl3-bZCeBCJTFE6XfzxI,2023.0,,['V Kanabar'],google_scholar
Exploring the productivity impacts of generative ai in organizations,https://link.springer.com/chapter/10.1007/978-3-031-72234-9_9,2024.0,"Conference on e-Business, e-Services and e …","['B Semujanga', 'P Mikalef']",google_scholar
A Systematic Literature Review on the Use of ChatGPT to Support Productivity of Software Developers,https://aisel.aisnet.org/amcis2025/sig_odis/sig_odis/17/,2025.0,,"['S Ebrahim', 'M Tanner']",google_scholar
Usability of ChatGPT in the english essay writing proficiency of the BEED students,https://jse.rezkimedia.org/index.php/jse/article/view/338,2024.0,Journal of Science …,"['KA Aglibot', 'EM Tomines', 'J Talaman']",google_scholar
Generative AI and Multifactor Productivity in Business,https://books.google.com/books?hl=en&lr=&id=n-UEEQAAQBAJ&oi=fnd&pg=PR1&dq=(%22LLM%22+OR+%22large+language+model%22+OR+%22generative+AI%22+OR+%22ChatGPT%22+OR+%22AI+chatbot%22)+AND+(%22productivity%22+OR+%22workplace%22+OR+%22knowledge+work%22+OR+%22task+performance%22+OR+%22professional+writing%22+OR+%22writing+task%22+OR+%22essay+writing%22+OR+%22writing+assistant%22+OR+%22writing+assistance%22+OR+%22writing+skills%22+OR+%22cognitive+load%22+OR+%22cognitive+debt%22+OR+%22metacognition%22+OR+%22metacognitive%22+OR+%22self-regulated+learning%22+OR+%22learning+outcomes%22+OR+%22learning+engagement%22+OR+%22student+engagement%22+OR+%22academic+engagement%22+OR+%22AI+tutor%22+OR+%22tutor%22+OR+%22homework+tutor%22+OR+%22mathematics%22+OR+%22high+school+math%22+OR+%22programming%22+OR+%22programming+assignment%22+OR+%22compiler+error%22+OR+%22automated+assessment%22+OR+%22feedback%22+OR+%22reading+comprehension%22+OR+%22note-taking%22+OR+%22memory+retention%22+OR+%22critical+thinking%22+OR+%22higher+education%22+OR+%22EFL+writing%22+OR+%22assistive+technology%22+OR+%22visual+disability%22+OR+%22GitHub+Copilot%22+OR+%22Copilot%22)&ots=WTy38qYYGj&sig=ngbvNcrcNr7P7QUcXo28mT1K2KY,2024.0,,"['FF Adedoyin', 'B Christiansen']",google_scholar
Future of Productivity Management: The Role of Generative AI,https://www.igi-global.com/chapter/future-of-productivity-management/368885,2025.0,Generative AI for Business …,"['H Khan', 'V Chetan', 'SV Hukkeri']",google_scholar
Generative AI Uses and Risks for Knowledge Workers in a Science Organization,https://dl.acm.org/doi/abs/10.1145/3706598.3713827,2025.0,… of the 2025 CHI Conference on …,"['KB Wagman', 'MT Dearing', 'M Chetty']",google_scholar
THE LLM PRODUCTIVITY CLIFF: THRESHOLD PRODUCTIVITY AND AI-NATIVE INEQUALITY,https://www.authorea.com/doi/full/10.22541/au.176479278.82636337,2025.0,Authorea Preprints,['F Bisardi'],google_scholar
Leveraging AI ChatGPT as a Research Assistant: An Analysis of Its Impact on Productivity and Research Output among Graduate Students in Pakistan,http://jals.miard.org/index.php/jals/article/view/173,2024.0,Journal of Arts and Linguistics Studies,"['M Nisar', 'M Asif']",google_scholar
Addressing the productivity paradox in healthcare with retrieval augmented generative AI chatbots,https://ieeexplore.ieee.org/abstract/document/10540818/,2024.0,2024 IEEE …,"['S Ranasinghe', 'D De Silva', 'N Mills']",google_scholar
How knowledge workers use and want to use llms in an enterprise context,https://dl.acm.org/doi/abs/10.1145/3613905.3650841,2024.0,Extended Abstracts of the …,"['M Brachman', 'A El-Ashry', 'C Dugan']",google_scholar
Examining the use and impact of an ai code assistant on developer productivity and experience in the enterprise,https://dl.acm.org/doi/abs/10.1145/3706599.3706670,2025.0,Proceedings of the …,"['JD Weisz', 'SV Kumar', 'M Muller', 'KE Browne']",google_scholar
Using artificial intelligence in academic writing and research: An essential productivity tool,https://www.sciencedirect.com/science/article/pii/S2666990024000120,2024.0,Computer Methods and Programs in Biomedicine …,"['M Khalifa', 'M Albadawy']",google_scholar
Organizing for Generative AI and the Productivity Revolution: Reshaping Organizational Roles in the Age of Artificial Intelligence,https://books.google.com/books?hl=en&lr=&id=vbUvEQAAQBAJ&oi=fnd&pg=PR5&dq=(%22LLM%22+OR+%22large+language+model%22+OR+%22generative+AI%22+OR+%22ChatGPT%22+OR+%22AI+chatbot%22)+AND+(%22productivity%22+OR+%22workplace%22+OR+%22knowledge+work%22+OR+%22task+performance%22+OR+%22professional+writing%22+OR+%22writing+task%22+OR+%22essay+writing%22+OR+%22writing+assistant%22+OR+%22writing+assistance%22+OR+%22writing+skills%22+OR+%22cognitive+load%22+OR+%22cognitive+debt%22+OR+%22metacognition%22+OR+%22metacognitive%22+OR+%22self-regulated+learning%22+OR+%22learning+outcomes%22+OR+%22learning+engagement%22+OR+%22student+engagement%22+OR+%22academic+engagement%22+OR+%22AI+tutor%22+OR+%22tutor%22+OR+%22homework+tutor%22+OR+%22mathematics%22+OR+%22high+school+math%22+OR+%22programming%22+OR+%22programming+assignment%22+OR+%22compiler+error%22+OR+%22automated+assessment%22+OR+%22feedback%22+OR+%22reading+comprehension%22+OR+%22note-taking%22+OR+%22memory+retention%22+OR+%22critical+thinking%22+OR+%22higher+education%22+OR+%22EFL+writing%22+OR+%22assistive+technology%22+OR+%22visual+disability%22+OR+%22GitHub+Copilot%22+OR+%22Copilot%22)&ots=dYPFACExlb&sig=3zAVdcMRVykPpMZA6bTVIong6lk,2024.0,,"[""AJ O'Connor""]",google_scholar
Practical Generative AI with ChatGPT: Unleash your prompt engineering potential with OpenAI technologies for productivity and creativity,https://books.google.com/books?hl=en&lr=&id=u2JREQAAQBAJ&oi=fnd&pg=PP1&dq=(%22LLM%22+OR+%22large+language+model%22+OR+%22generative+AI%22+OR+%22ChatGPT%22+OR+%22AI+chatbot%22)+AND+(%22productivity%22+OR+%22workplace%22+OR+%22knowledge+work%22+OR+%22task+performance%22+OR+%22professional+writing%22+OR+%22writing+task%22+OR+%22essay+writing%22+OR+%22writing+assistant%22+OR+%22writing+assistance%22+OR+%22writing+skills%22+OR+%22cognitive+load%22+OR+%22cognitive+debt%22+OR+%22metacognition%22+OR+%22metacognitive%22+OR+%22self-regulated+learning%22+OR+%22learning+outcomes%22+OR+%22learning+engagement%22+OR+%22student+engagement%22+OR+%22academic+engagement%22+OR+%22AI+tutor%22+OR+%22tutor%22+OR+%22homework+tutor%22+OR+%22mathematics%22+OR+%22high+school+math%22+OR+%22programming%22+OR+%22programming+assignment%22+OR+%22compiler+error%22+OR+%22automated+assessment%22+OR+%22feedback%22+OR+%22reading+comprehension%22+OR+%22note-taking%22+OR+%22memory+retention%22+OR+%22critical+thinking%22+OR+%22higher+education%22+OR+%22EFL+writing%22+OR+%22assistive+technology%22+OR+%22visual+disability%22+OR+%22GitHub+Copilot%22+OR+%22Copilot%22)&ots=LFDzAm3bjN&sig=RCalbS8wErdddU-QrEOXZytxJyc,2025.0,,['V Alto'],google_scholar
Using ChatGPT as a writing assistant: A study on essay quality development among Indonesian EFL University Students,https://vm113.upi.edu/index.php/ijal/article/view/258,2025.0,Indonesian Journal of …,"['CG Puteri', 'BY Cahyono', 'U Widiati']",google_scholar
Optimizing the Grant Writing Process: A Framework for Creating a Grant Writing Assistant Using ChatGPT 4,https://dl.acm.org/doi/abs/10.1145/3641237.3691693,2024.0,Proceedings of the 42nd ACM International …,"['B Kasierski', 'E Fagnano']",google_scholar
Artificial intelligence-based language modelling: The effect of ChatGPT application on writing skills in the context of teaching English as a foreign language,https://acikerisim.uludag.edu.tr/items/68ddad61-a55a-401a-8729-df5fc3c13eb7,2024.0,,['GC Kulaksız'],google_scholar
ChatGPT and Improvement in Productivity: An analytical Study,https://bbejournal.com/BBE/article/view/1022,2024.0,Bulletin of Business and Economics (BBE),"['K Rasheed', 'SQ ul Ain']",google_scholar
"Teacher, trainer, counsel, spy: how generative AI can bridge or widen the gaps in worker-centric digital phenotyping of wellbeing",https://dl.acm.org/doi/abs/10.1145/3663384.3663401,2024.0,Proceedings of the 3rd Annual Meeting of the …,"['V Das Swain', 'K Saha']",google_scholar
Appropriateness of llm-equipped robotic well-being coach language in the workplace: A qualitative evaluation,https://ieeexplore.ieee.org/abstract/document/10731269/,2024.0,2024 33rd IEEE International …,"['M Spitale', 'M Axelsson', 'H Gunes']",google_scholar
The Impact of ChatGPT on Academic Writing Skills and Knowledge: An Investigation of Its Use in Argumentative Essays.,https://eric.ed.gov/?id=EJ1470999,2025.0,LEARN Journal: Language Education and Acquisition …,['D Khampusaen'],google_scholar
How ChatGPT undermines my research productivity,https://link.springer.com/article/10.1007/s00146-025-02523-3,2025.0,AI & SOCIETY,"['HH Pham', 'TBA Nguyen']",google_scholar
The Effect of Generative AI on the Productivity of Consultants,https://search.proquest.com/openview/a02304b5d86922dacfe44d2c451d739f/1?pq-origsite=gscholar&cbl=2026366&diss=y,2024.0,,['M Brommann'],google_scholar
THE IMPACT OF GENERATIVE AI ON WORKFORCE PRODUCTIVITY AND CREATIVE PROBLEM SOLVING,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5268208,2025.0,Available at SSRN 5268208,['A Arora'],google_scholar
Generative AI: boosting adaptability and reducing workplace overload,https://www.tandfonline.com/doi/abs/10.1080/08874417.2024.2417672,2024.0,Journal of Computer …,"['H Hessari', 'A Bai', 'F Daneshmandi']",google_scholar
Collaborative processing of ChatGPT-generated feedback: Effects on L2 writing task improvement and learning,https://scholarspace.manoa.hawaii.edu/items/46bc7cb5-5d37-48a4-9cfd-881d5fa69643,2024.0,,['D Yan'],google_scholar
ChatGPT as an artificial intelligence (AI) writing assistant for EFL learners: An exploratory study of its effects on English writing proficiency,https://dl.acm.org/doi/abs/10.1145/3664934.3664946,2024.0,Proceedings of the 2024 9th International conference …,['Q Xiao'],google_scholar
The use of ChatGPT in source-based writing tasks,https://link.springer.com/article/10.1007/s40593-024-00413-1,2025.0,International Journal of …,"['C Tarchi', 'A Zappoli', 'L Casado Ledesma']",google_scholar
